Arrondissement,Max_Regime_particulier,Numbre_Max,Min_Regime_particulier,Numbre_Min
-1.0,Arret_genant_divers,3,Arret_genant_divers,3
1.0,Stationnement_genant,241,Arret_vigipirate_non_perennise,1
2.0,Stationnement_genant,218,Arret_simple,5
2.0,Stationnement_genant,218,Arret_vigipirate_non_perennise,5
3.0,Stationnement_genant,264,Arret_simple,5
4.0,Stationnement_genant,224,Arret_vigipirate_non_perennise,6
5.0,Stationnement_genant,308,rien,1
6.0,Stationnement_genant,309,Arret_Pompiers,2
7.0,Stationnement_genant,431,Arret_Pompiers,9
8.0,Stationnement_genant,404,Arret_Pompiers,8
9.0,Stationnement_genant,331,Arret_simple,6
10.0,Stationnement_genant,343,Arret_Pompiers,5
11.0,Stationnement_genant,520,Arret_vigipirate_non_perennise,6
12.0,Stationnement_genant,519,rien,3
13.0,Stationnement_genant,817,rien,2
14.0,Stationnement_genant,654,Arret_vigipirate_non_perennise,10
15.0,Stationnement_genant,773,Arret_Pompiers,25
16.0,Stationnement_genant,857,rien,5
17.0,Stationnement_genant,633,Arret_Pompiers,33
18.0,Stationnement_genant,655,Arret_simple,15
19.0,Stationnement_genant,607,Livraison_BUS,14
20.0,Stationnement_genant,795,rien,5
21.0,Stationnement_genant,271,Arret_vigipirate_non_perennise,5
22.0,Stationnement_genant,328,Arret_vigipirate_non_perennise,1
